An Update on Feline Calicivirus,10.17236/SAT00346
Antiviral effect of copper chloride on feline calicivirus and synergy with ribavirin in vitro,https://www.researchsquare.com/article/rs-10992/v3
 Rapid Detection of Feline Calicivirus Using Lateral Flow Dipsticks Based on CRISPR/Cas13a System ,https://www.mdpi.com/2076-2615/14/24/3663
Serologic and Virologic Surveys on Feline Herpesvirus and Feline Calicivirus Infections in Cats for Experimental Use,https://www.jstage.jst.go.jp/article/expanim1978/34/3/34_3_241/_article
 Risk of Feline Immunodeficiency Virus (FIV) Infection in Pet Cats in Australia is Higher in Areas of Lower Socioeconomic Status ,https://www.mdpi.com/2076-2615/9/9/592
Investigation of the epidemiology of calicivirus infection of cats using molecular and virus isolation techniques,https://www.sciencedirect.com/science/article/abs/pii/S0147957125000438?via%3Dihub
"A Field Trial to Assess the Effect of Vaccination against Feline Herpesvirus, Feline Calicivirus and Feline Panleucopenia Virus in 6-Week-Old Kittens",https://journals.sagepub.com/doi/10.1053/jfms.2000.0154
Analysis of Genetic Diversity Based on Sequences of Feline Calicivirus Strains Isolated in China,https://onlinelibrary.wiley.com/doi/10.1155/tbed/9924540
Characterization of a continuous feline mammary epithelial cell line susceptible to feline epitheliotropic viruses,https://www.sciencedirect.com/science/article/pii/S0166093408004230?via%3Dihub
Incidence and sero-surveillance of feline viruses in Korean cats residing in Gyeonggi-do,https://www.kjvr.org/journal/view.php?doi=10.14405/kjvr.20220018
Ocular manifestations of feline viral diseases,https://www.sciencedirect.com/science/article/pii/S1090023313006102?via%3Dihub
Genetic and phylogenetic analysis of feline calicivirus isolates in China,https://www.sciencedirect.com/science/article/abs/pii/S1090023316302246?via%3Dihub
Feline calicivirus strain 2280 p30 antagonizes type I interferon-mediated antiviral innate immunity through directly degrading IFNAR1 mRNA,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008944
" Isolation and molecular characteristics of a recombinant feline calicivirus from Qingdao, China",https://vrf.iranjournals.ir/article_706635.html
 The molecular pathogenesis of feline calicivirus infection ,https://livrepository.liverpool.ac.uk/4193/
Nucleotide sequence and expression of the capsid protein gene of feline calicivirus,https://journals.asm.org/doi/10.1128/jvi.65.10.5440-5447.1991
